#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-5.087	-118.1192716440346	-111.56582585254267	-119.55672532436367	-113.01669340975114
-5.074	-117.75031505814877	-111.2098692666568	-119.18776873847781	-112.66073682386528
-5.061	-117.38135847226289	-110.85391268077093	-118.81881215259193	-112.30478023797943
-5.048	-117.01240188637706	-110.49795609488511	-118.44985556670609	-111.94882365209358
-5.035	-116.64344530049122	-110.14199950899926	-118.08089898082024	-111.59286706620772
-5.022	-116.27448871460537	-109.7860429231134	-117.71194239493441	-111.2369104803219
-5.009	-115.90553212871951	-109.43008633722755	-117.34298580904856	-110.88095389443603
-4.996	-115.53657554283366	-109.07412975134174	-116.9740292231627	-110.52499730855023
-4.983	-115.16761895694785	-108.71817316545592	-116.60507263727692	-110.16904072266442
-4.97	-114.79866237106202	-108.36221657957006	-116.23611605139106	-109.81308413677854
-4.957	-114.42970578517617	-108.0062599936842	-115.86715946550521	-109.4571275508927
-4.944	-114.06074919929031	-107.65030340779836	-115.49820287961936	-109.10117096500683
-4.931	-113.69179261340449	-107.29434682191253	-115.12924629373353	-108.745214379121
-4.918	-113.32283602751863	-106.93839023602668	-114.76028970784768	-108.38925779323516
-4.905	-112.9538794416328	-106.58243365014084	-114.39133312196184	-108.03330120734933
-4.892	-112.58492285574694	-106.22647706425501	-114.02237653607601	-107.67734462146349
-4.879	-112.21596626986111	-105.87052047836917	-113.65341995019018	-107.32138803557766
-4.866	-111.84700968397529	-105.51456389248332	-113.28446336430433	-106.96543144969182
-4.853	-111.47805309808943	-105.15860730659747	-112.91550677841849	-106.60947486380596
-4.84	-111.10909651220358	-104.80265072071163	-112.54655019253262	-106.2535182779201
-4.827	-110.74013992631774	-104.44669413482579	-112.17759360664678	-105.89756169203424
-4.814	-110.37118334043188	-104.09073754893994	-111.80863702076093	-105.54160510614842
-4.801	-110.00222675454606	-103.73478096305409	-111.4396804348751	-105.18564852026257
-4.788	-109.6332701686602	-103.37882437716826	-111.07072384898923	-104.82969193437671
-4.775	-109.26431358277436	-103.02286779128244	-110.7017672631034	-104.47373534849092
-4.762	-108.89535699688852	-102.66691120539659	-110.3328106772176	-104.11777876260508
-4.749	-108.5264004110027	-102.31095461951074	-109.96385409133175	-103.76182217671922
-4.736	-108.15744382511683	-101.95499803362488	-109.59489750544589	-103.40586559083337
-4.723	-107.78848723923099	-101.59904144773904	-109.22594091956005	-103.04990900494751
